<span style="font-size: 32px; ">便</span>	<span style="">biàn/ pián</span><br><span style="">convenient / sound: pian</span><br><span style="">方便, fāngbiàn, convenient<br>便宜, piányi, cheap</span>
<br><span style="">convenient / sound: pian</span><br>	<span style="font-size: 32px; ">便</span><br><span style="">biàn/ pián</span><br><span style="">方便, fāngbiàn, convenient<br>便宜, piányi, cheap</span>
<span style="font-size: 32px; ">表</span>	<span style="">biǎo</span><br><span style="">show, list</span><br><span style="">代表，dàibiǎo, representative <br>登记表 dēngjìbiǎo, registration form</span>
<br><span style="">show, list</span><br>	<span style="font-size: 32px; ">表</span><br><span style="">biǎo</span><br><span style="">代表，dàibiǎo, representative <br>登记表 dēngjìbiǎo, registration form</span>
<span style="font-size: 32px; ">别</span>	<span style="">bié</span><br><span style="">other, don't</span><br><span style="">别的, bié de, other</span>
<br><span style="">other, don't</span><br>	<span style="font-size: 32px; ">别</span><br><span style="">bié</span><br><span style="">别的, bié de, other</span>
<span style="font-size: 32px; ">宾</span>	<span style="">bīn</span><br><span style="">guest</span><br><span style="">宾馆, bīnguǎn, guesthouse, hotel</span>
<br><span style="">guest</span><br>	<span style="font-size: 32px; ">宾</span><br><span style="">bīn</span><br><span style="">宾馆, bīnguǎn, guesthouse, hotel</span>
<span style="font-size: 32px; ">冰</span>	<span style="">bīng</span><br><span style="">ice </span><br><span style="">冰箱, bīngxiāng, refrigerator</span>
<br><span style="">ice </span><br>	<span style="font-size: 32px; ">冰</span><br><span style="">bīng</span><br><span style="">冰箱, bīngxiāng, refrigerator</span>
<span style="font-size: 32px; ">病</span>	<span style="">bìng</span><br><span style="">sick</span><br><span style="">病人, bìngrén, patient</span>
<br><span style="">sick</span><br>	<span style="font-size: 32px; ">病</span><br><span style="">bìng</span><br><span style="">病人, bìngrén, patient</span>
<span style="font-size: 32px; ">饼</span>	<span style="">bǐng</span><br><span style="">cake</span><br><span style="">月饼, yuèbǐng, mooncake</span>
<br><span style="">cake</span><br>	<span style="font-size: 32px; ">饼</span><br><span style="">bǐng</span><br><span style="">月饼, yuèbǐng, mooncake</span>
<span style="font-size: 32px; ">不</span>	<span style="">bù</span><br><span style="">not</span><br><span style="">不客气, bù kèqi, You are welcome!</span>
<br><span style="">not</span><br>	<span style="font-size: 32px; ">不</span><br><span style="">bù</span><br><span style="">不客气, bù kèqi, You are welcome!</span>
<span style="font-size: 32px; ">大</span>	<span style="">dà</span><br><span style="">big</span><br><span style="">意大利, Yìdàlì, Italy<br>大学，dàxué, university<br>多大，duōdà, how big<br>大家,dà jiā, everybody</span>
<br><span style="">big</span><br>	<span style="font-size: 32px; ">大</span><br><span style="">dà</span><br><span style="">意大利, Yìdàlì, Italy<br>大学，dàxué, university<br>多大，duōdà, how big<br>大家,dà jiā, everybody</span>
<span style="font-size: 32px; ">打</span>	<span style="">dǎ</span><br><span style="">hit</span><br><span style="">打算，dǎsuàn, plan<br>打折, dǎ zhé, discount</span>
<br><span style="">hit</span><br>	<span style="font-size: 32px; ">打</span><br><span style="">dǎ</span><br><span style="">打算，dǎsuàn, plan<br>打折, dǎ zhé, discount</span>
<span style="font-size: 32px; ">代</span>	<span style="">dài</span><br><span style="">represent</span><br><span style="">代表, dàibiǎo, representative</span>
<br><span style="">represent</span><br>	<span style="font-size: 32px; ">代</span><br><span style="">dài</span><br><span style="">代表, dàibiǎo, representative</span>
<span style="font-size: 32px; ">带</span>	<span style="">dài</span><br><span style="">carry</span><br><span style="">宽带网, kuāndàiwǎng, broadband</span>
<br><span style="">carry</span><br>	<span style="font-size: 32px; ">带</span><br><span style="">dài</span><br><span style="">宽带网, kuāndàiwǎng, broadband</span>
<span style="font-size: 32px; ">袋</span>	<span style="">dài</span><br><span style="">bag</span><br><span style=""></span>
<br><span style="">bag</span><br>	<span style="font-size: 32px; ">袋</span><br><span style="">dài</span><br><span style=""></span>
<span style="font-size: 32px; ">丹</span>	<span style="">dān</span><br><span style="">red</span><br><span style="">牡丹, mǔdan, peony</span>
<br><span style="">red</span><br>	<span style="font-size: 32px; ">丹</span><br><span style="">dān</span><br><span style="">牡丹, mǔdan, peony</span>
<span style="font-size: 32px; ">但</span>	<span style="">dàn</span><br><span style="">but</span><br><span style="">但愿，dànyuàn, to wish that<br>但是, dànshì, but</span>
<br><span style="">but</span><br>	<span style="font-size: 32px; ">但</span><br><span style="">dàn</span><br><span style="">但愿，dànyuàn, to wish that<br>但是, dànshì, but</span>
<span style="font-size: 32px; ">单</span>	<span style="">dān</span><br><span style="">alone</span><br><span style="">菜单, càidān, menu<br />账单, zhàngdān, bill<br />但人间, dānrénjiān, single room </span>
<br><span style="">alone</span><br>	<span style="font-size: 32px; ">单</span><br><span style="">dān</span><br><span style="">菜单, càidān, menu<br />账单, zhàngdān, bill<br />但人间, dānrénjiān, single room </span>
<span style="font-size: 32px; ">诞</span>	<span style="">dàn</span><br><span style="">birth</span><br><span style="">圣诞节, shèngdànjié, Christmas</span>
<br><span style="">birth</span><br>	<span style="font-size: 32px; ">诞</span><br><span style="">dàn</span><br><span style="">圣诞节, shèngdànjié, Christmas</span>
<span style="font-size: 32px; ">蛋</span>	<span style="">dàn</span><br><span style="">egg</span><br><span style="">鸡蛋，jīdàn, hen's egg<br>蛋黄, dànhuáng, yolk</span>
<br><span style="">egg</span><br>	<span style="font-size: 32px; ">蛋</span><br><span style="">dàn</span><br><span style="">鸡蛋，jīdàn, hen's egg<br>蛋黄, dànhuáng, yolk</span>
<span style="font-size: 32px; ">当</span>	<span style="">dāng</span><br><span style="">serve as</span><br><span style="">当上, dāngshang, act as<br>当然, dāngrán, of course</span>
<br><span style="">serve as</span><br>	<span style="font-size: 32px; ">当</span><br><span style="">dāng</span><br><span style="">当上, dāngshang, act as<br>当然, dāngrán, of course</span>
<span style="font-size: 32px; ">到</span>	<span style="">dào</span><br><span style="">towards</span><br><span style="">到处, dàochù, everywhere</span>
<br><span style="">towards</span><br>	<span style="font-size: 32px; ">到</span><br><span style="">dào</span><br><span style="">到处, dàochù, everywhere</span>
<span style="font-size: 32px; ">岛</span>	<span style="">dǎo</span><br><span style="">island</span><br><span style="">青岛, qīngdǎo, Qingdao</span>
<br><span style="">island</span><br>	<span style="font-size: 32px; ">岛</span><br><span style="">dǎo</span><br><span style="">青岛, qīngdǎo, Qingdao</span>
<span style="font-size: 32px; ">道</span>	<span style="">dào</span><br><span style="">way</span><br><span style="">知道, zhīdao,know</span>
<br><span style="">way</span><br>	<span style="font-size: 32px; ">道</span><br><span style="">dào</span><br><span style="">知道, zhīdao,know</span>
<span style="font-size: 32px; ">电</span>	<span style="">diàn</span><br><span style="">electricity</span><br><span style="">电话, diànhuà, telephone<br>电影, diànyǐng, film <br>电影院, diànyǐngyuàn cinema <br>电脑, diànnǎo, computer<br>电视, diànshi, television</span>
<br><span style="">electricity</span><br>	<span style="font-size: 32px; ">电</span><br><span style="">diàn</span><br><span style="">电话, diànhuà, telephone<br>电影, diànyǐng, film <br>电影院, diànyǐngyuàn cinema <br>电脑, diànnǎo, computer<br>电视, diànshi, television</span>
<span style="font-size: 32px; ">丁</span>	<span style="">dīng</span><br><span style="">cubes (in food preparation)</span><br><span style="">鸡丁, jīdīng, diced chicken</span>
<br><span style="">cubes (in food preparation)</span><br>	<span style="font-size: 32px; ">丁</span><br><span style="">dīng</span><br><span style="">鸡丁, jīdīng, diced chicken</span>
<span style="font-size: 32px; ">得</span>	<span style="">de</span><br><span style="">[particle]</span><br><span style="">记得, jìde, remember</span>
<br><span style="">[particle]</span><br>	<span style="font-size: 32px; ">得</span><br><span style="">de</span><br><span style="">记得, jìde, remember</span>
<span style="font-size: 32px; ">的</span>	<span style="">de</span><br><span style="">[particle]</span><br><span style=""></span>
<br><span style="">[particle]</span><br>	<span style="font-size: 32px; ">的</span><br><span style="">de</span><br><span style=""></span>
<span style="font-size: 32px; ">德</span>	<span style="">dé</span><br><span style="">virtue</span><br><span style="">德国, Déguó, Germany</span>
<br><span style="">virtue</span><br>	<span style="font-size: 32px; ">德</span><br><span style="">dé</span><br><span style="">德国, Déguó, Germany</span>
<span style="font-size: 32px; ">等</span>	<span style="">děng</span><br><span style="">wait，class</span><br><span style="">稍等, shāoděng, wait a minute<br>等等, děngděng, and so on</span>
<br><span style="">wait，class</span><br>	<span style="font-size: 32px; ">等</span><br><span style="">děng</span><br><span style="">稍等, shāoděng, wait a minute<br>等等, děngděng, and so on</span>
<span style="font-size: 32px; ">登</span>	<span style="">dēng</span><br><span style="">climb</span><br><span style="">登记表, dēngjìbiǎo, registration form</span>
<br><span style="">climb</span><br>	<span style="font-size: 32px; ">登</span><br><span style="">dēng</span><br><span style="">登记表, dēngjìbiǎo, registration form</span>
<span style="font-size: 32px; ">地</span>	<span style="">dì</span><br><span style="">earth</span><br><span style="">地方，dìfāng, place<br>地图，dìtú, map<br>地铁,&nbsp;&nbsp;dìtiě, underground/metro</span>
<br><span style="">earth</span><br>	<span style="font-size: 32px; ">地</span><br><span style="">dì</span><br><span style="">地方，dìfāng, place<br>地图，dìtú, map<br>地铁,&nbsp;&nbsp;dìtiě, underground/metro</span>
<span style="font-size: 32px; ">第</span>	<span style="">dì</span><br><span style="">-th, ordinal number prefix</span><br><span style=""></span>
<br><span style="">-th, ordinal number prefix</span><br>	<span style="font-size: 32px; ">第</span><br><span style="">dì</span><br><span style=""></span>
<span style="font-size: 32px; ">弟</span>	<span style="">dì</span><br><span style="">little brother</span><br><span style="">兄弟姐妹, xiōngdìjiěmèi, brothers and sisters<br>弟弟, dìdi, younger brother</span>
<br><span style="">little brother</span><br>	<span style="font-size: 32px; ">弟</span><br><span style="">dì</span><br><span style="">兄弟姐妹, xiōngdìjiěmèi, brothers and sisters<br>弟弟, dìdi, younger brother</span>
<span style="font-size: 32px; ">典</span>	<span style="">diǎn</span><br><span style="">typical</span><br><span style="">瑞典, Ruìdiǎn，Sweden<br>古典, gǔdiǎn, classical</span>
<br><span style="">typical</span><br>	<span style="font-size: 32px; ">典</span><br><span style="">diǎn</span><br><span style="">瑞典, Ruìdiǎn，Sweden<br>古典, gǔdiǎn, classical</span>
<span style="font-size: 32px; ">点</span>	<span style="">diǎn</span><br><span style="">dot</span><br><span style="">一点儿, yīdiǎnr, a little bit<br>一点点, yīdiǎndiǎn, a little bit</span>
<br><span style="">dot</span><br>	<span style="font-size: 32px; ">点</span><br><span style="">diǎn</span><br><span style="">一点儿, yīdiǎnr, a little bit<br>一点点, yīdiǎndiǎn, a little bit</span>
<span style="font-size: 32px; ">定</span>	<span style="">dìng</span><br><span style="">definite</span><br><span style="">一定, yīdìng, definite</span>
<br><span style="">definite</span><br>	<span style="font-size: 32px; ">定</span><br><span style="">dìng</span><br><span style="">一定, yīdìng, definite</span>
<span style="font-size: 32px; ">订</span>	<span style="">dìng</span><br><span style="">conclude</span><br><span style="">预订, yùdìng, book / place an order</span>
<br><span style="">conclude</span><br>	<span style="font-size: 32px; ">订</span><br><span style="">dìng</span><br><span style="">预订, yùdìng, book / place an order</span>
<span style="font-size: 32px; ">店</span>	<span style="">diǎn</span><br><span style="">shop</span><br><span style="">饭店, fàndiàn, hotel / restaurant</span>
<br><span style="">shop</span><br>	<span style="font-size: 32px; ">店</span><br><span style="">diǎn</span><br><span style="">饭店, fàndiàn, hotel / restaurant</span>
<span style="font-size: 32px; ">东</span>	<span style="">dōng</span><br><span style="">east</span><br><span style="">广东, Guǎngdōng, Guangdong Province<br>东西, dōngxī, thing</span>
<br><span style="">east</span><br>	<span style="font-size: 32px; ">东</span><br><span style="">dōng</span><br><span style="">广东, Guǎngdōng, Guangdong Province<br>东西, dōngxī, thing</span>
<span style="font-size: 32px; ">动</span>	<span style="">dōng</span><br><span style="">move</span><br><span style="">运动, yùndòng, sport</span>
<br><span style="">move</span><br>	<span style="font-size: 32px; ">动</span><br><span style="">dōng</span><br><span style="">运动, yùndòng, sport</span>
<span style="font-size: 32px; ">都</span>	<span style="">dōu</span><br><span style="">all</span><br><span style=""></span>
<br><span style="">all</span><br>	<span style="font-size: 32px; ">都</span><br><span style="">dōu</span><br><span style=""></span>
<span style="font-size: 32px; ">读</span>	<span style="">dú</span><br><span style="">read</span><br><span style=""></span>
<br><span style="">read</span><br>	<span style="font-size: 32px; ">读</span><br><span style="">dú</span><br><span style=""></span>
<span style="font-size: 32px; ">度</span>	<span style="">dù</span><br><span style="">degree</span><br><span style=""></span>
<br><span style="">degree</span><br>	<span style="font-size: 32px; ">度</span><br><span style="">dù</span><br><span style=""></span>
<span style="font-size: 32px; ">对</span>	<span style="">duì</span><br><span style="">correct</span><br><span style=""></span>
<br><span style="">correct</span><br>	<span style="font-size: 32px; ">对</span><br><span style="">duì</span><br><span style=""></span>
<span style="font-size: 32px; ">端</span>	<span style="">duān</span><br><span style="">hold</span><br><span style="">端午节, Duānwǔjié, Dragon Boat Festival</span>
<br><span style="">hold</span><br>	<span style="font-size: 32px; ">端</span><br><span style="">duān</span><br><span style="">端午节, Duānwǔjié, Dragon Boat Festival</span>
<span style="font-size: 32px; ">敦</span>	<span style="">dūn</span><br><span style="">honest</span><br><span style="">伦敦, Lúndūn, London</span>
<br><span style="">honest</span><br>	<span style="font-size: 32px; ">敦</span><br><span style="">dūn</span><br><span style="">伦敦, Lúndūn, London</span>
<span style="font-size: 32px; ">炖</span>	<span style="">dùn</span><br><span style="">stew</span><br><span style=""></span>
<br><span style="">stew</span><br>	<span style="font-size: 32px; ">炖</span><br><span style="">dùn</span><br><span style=""></span>
<span style="font-size: 32px; ">多</span>	<span style="">duo</span><br><span style="">many</span><br><span style="">多大, duōdà, how old?<br>多少, duōshao how many/much?</span>
<br><span style="">many</span><br>	<span style="font-size: 32px; ">多</span><br><span style="">duo</span><br><span style="">多大, duōdà, how old?<br>多少, duōshao how many/much?</span>
<span style="font-size: 32px; ">儿</span>	<span style="">ér</span><br><span style="">son</span><br><span style="">哪儿, nǎr, where<br>儿子, érzi, son<br>一会儿, yīhuìr, a while <br>这儿, zhèr, this, <br>儿童, értóng, child</span>
